township_id,annual_precipitation_mm
T010R03W4,404
T010R03W5,561
T010R04W4,389
T010R04W5,595
T010R05W4,362
T010R06W4,345
T010R07W4,341
T010R08W4,337
T010R09W4,329
T010R10W4,331
T010R11W4,332
T010R12W4,329
T010R13W4,335
T010R14W4,346
T010R15W4,356
T010R16W4,370
T010R17W4,355
T010R18W4,354
T010R19W4,361
T010R20W4,366
T010R21W4,376
T010R22W4,376
T010R23W4,401
T010R24W4,406
T010R25W4,393
T010R26W4,418
T010R27W4,451
T010R28W4,485
T010R29W4,524
T010R30W4,566
T011R01W4,390
T011R01W5,587
T011R02W4,383
T011R02W5,543
T011R03W4,365
T011R03W5,526
T011R04W4,351
T011R04W5,593
T011R05W4,339
T011R05W5,682
T011R06W4,337
T011R07W4,335
T011R08W4,331
T011R09W4,324
T011R10W4,324
T011R11W4,324
T011R12W4,325
T011R13W4,329
T011R14W4,337
T011R15W4,344
T011R16W4,347
T011R17W4,346
T011R18W4,351
T011R19W4,360
T011R20W4,363
T011R21W4,372
T011R22W4,379
T011R23W4,393
T011R24W4,395
T011R25W4,396
T011R26W4,418
T011R27W4,437
T011R28W4,459
T011R29W4,527
T011R30W4,578
T012R01W4,369
T012R01W5,549
T012R02W4,356
T012R02W5,542
T012R03W4,349
T012R03W5,562
T012R04W4,339
T012R04W5,595
T012R05W4,335
T012R06W4,336
T012R07W4,335
T012R08W4,326
T012R09W4,318
T012R10W4,317
T012R11W4,319
T012R12W4,320
T012R13W4,320
T012R14W4,324
T012R15W4,324
T012R16W4,321
T012R17W4,326
T012R18W4,339
T012R19W4,355
T012R20W4,364
T012R21W4,372
T012R22W4,380
T012R23W4,383
T012R24W4,387
T012R25W4,398
T012R26W4,414
T012R27W4,411
T012R28W4,425
T012R29W4,476
T012R30W4,528
T013R01W4,353
T013R01W5,558
T013R02W4,351
T013R02W5,571
T013R03W4,346
T013R03W5,604
T013R04W4,339
T013R04W5,645
T013R05W4,336
T013R05W5,643
T013R06W4,339
T013R07W4,334
T013R08W4,320
T013R09W4,312
T013R10W4,310
T013R11W4,311
T013R12W4,313
T013R13W4,317
T013R14W4,319
T013R15W4,318
T013R16W4,316
T013R17W4,319
T013R18W4,330
T013R19W4,347
T013R20W4,363
T013R21W4,374
T013R22W4,381
T013R23W4,380
T013R24W4,381
T013R25W4,393
T013R26W4,411
T013R27W4,416
T013R28W4,408
T013R29W4,467
T013R30W4,528
T014R01W4,349
T014R01W5,559
T014R02W4,347
T014R02W5,584
T014R03W4,343
T014R03W5,631
T014R04W4,337
T014R04W5,696
T014R05W4,335
T014R05W5,818
T014R06W4,334
T014R07W4,325
T014R08W4,310
T014R09W4,304
T014R10W4,305
T014R11W4,308
T014R12W4,311
T014R13W4,313
T014R14W4,315
T014R15W4,319
T014R16W4,322
T014R17W4,321
T014R18W4,326
T014R19W4,342
T014R20W4,362
T014R21W4,373
T014R22W4,380
T014R23W4,379
T014R24W4,378
T014R25W4,384
T014R26W4,403
T014R27W4,418
T014R28W4,434
T014R29W4,484
T014R30W4,513
T015R01W4,347
T015R01W5,544
T015R02W4,347
T015R02W5,592
T015R03W4,345
T015R03W5,626
T015R04W4,340
T015R04W5,611
T015R05W4,334
T015R05W5,718
T015R06W4,327
T015R07W4,317
T015R08W4,309
T015R09W4,310
T015R10W4,307
T015R11W4,310
T015R12W4,314
T015R13W4,313
T015R14W4,315
T015R15W4,319
T015R16W4,321
T015R17W4,321
T015R18W4,330
T015R19W4,345
T015R20W4,367
T015R21W4,380
T015R22W4,385
T015R23W4,384
T015R24W4,385
T015R25W4,387
T015R26W4,396
T015R27W4,424
T015R28W4,462
T015R29W4,498
T015R30W4,518
T016R01W4,347
T016R01W5,538
T016R02W4,347
T016R02W5,580
T016R03W4,346
T016R03W5,645
T016R04W4,341
T016R04W5,630
T016R05W4,331
T016R05W5,639
T016R06W4,326
T016R07W4,318
T016R08W4,311
T016R09W4,309
T016R10W4,310
T016R11W4,314
T016R12W4,319
T016R13W4,320
T016R14W4,319
T016R15W4,319
T016R16W4,321
T016R17W4,324
T016R18W4,335
T016R19W4,352
T016R20W4,378
T016R21W4,388
T016R22W4,392
T016R23W4,395
T016R24W4,394
T016R25W4,390
T016R26W4,390
T016R27W4,421
T016R28W4,464
T016R29W4,503
T016R30W4,521
T017R01W4,346
T017R01W5,529
T017R02W4,345
T017R02W5,539
T017R03W4,343
T017R03W5,589
T017R04W4,336
T017R04W5,600
T017R05W4,331
T017R05W5,643
T017R06W4,329
T017R06W5,747
T017R07W4,324
T017R08W4,319
T017R09W4,318
T017R10W4,321
T017R11W4,325
T017R12W4,325
T017R13W4,323
T017R14W4,324
T017R15W4,324
T017R16W4,324
T017R17W4,327
T017R18W4,339
T017R19W4,368
T017R20W4,390
T017R21W4,398
T017R22W4,400
T017R23W4,400
T017R24W4,403
T017R25W4,397
T017R26W4,397
T017R27W4,424
T017R28W4,466
T017R29W4,500
T017R30W4,517
T018R01W4,338
T018R01W5,521
T018R02W4,336
T018R02W5,528
T018R03W4,332
T018R03W5,509
T018R04W4,325
T018R04W5,544
T018R05W4,328
T018R05W5,630
T018R06W4,329
T018R06W5,710
T018R07W4,331
T018R07W5,785
T018R08W4,333
T018R09W4,335
T018R10W4,338
T018R11W4,336
T018R12W4,328
T018R13W4,323
T018R14W4,323
T018R15W4,328
T018R16W4,328
T018R17W4,331
T018R18W4,342
T018R19W4,372
T018R20W4,397
T018R21W4,407
T018R22W4,409
T018R23W4,409
T018R24W4,414
T018R25W4,413
T018R26W4,410
T018R27W4,432
T018R28W4,466
T018R29W4,489
T018R30W4,504
T019R01W4,323
T019R01W5,498
T019R02W4,319
T019R02W5,513
T019R03W4,312
T019R03W5,522
T019R04W4,314
T019R04W5,567
T019R05W4,321
T019R05W5,605
T019R06W4,329
T019R06W5,650
T019R07W4,335
T019R07W5,679
T019R08W4,340
T019R08W5,691
T019R09W4,343
T019R09W5,747
T019R10W4,347
T019R11W4,345
T019R12W4,331
T019R13W4,318
T019R14W4,343
T019R15W4,336
T019R16W4,332
T019R17W4,334
T019R18W4,345
T019R19W4,380
T019R20W4,400
T019R21W4,409
T019R22W4,413
T019R23W4,418
T019R24W4,430
T019R25W4,417
T019R26W4,418
T019R27W4,444
T019R28W4,473
T019R29W4,483
T020R01W4,308
T020R01W5,484
T020R02W4,304
T020R02W5,504
T020R03W4,304
T020R03W5,543
T020R04W4,309
T020R04W5,587
T020R05W4,316
T020R05W5,615
T020R06W4,325
T020R06W5,638
T020R07W4,333
T020R07W5,739
T020R08W4,340
T020R08W5,741
T020R09W4,341
T020R09W5,620
T020R10W4,355
T020R11W4,352
T020R12W4,339
T020R13W4,327
T020R14W4,334
T020R15W4,335
T020R16W4,330
T020R17W4,330
T020R18W4,340
T020R19W4,371
T020R20W4,392
T020R21W4,402
T020R22W4,407
T020R23W4,410
T020R24W4,396
T020R25W4,401
T020R26W4,414
T020R27W4,445
T020R28W4,476
T020R29W4,484
T021R01W4,302
T021R01W5,476
T021R02W4,298
T021R02W5,484
T021R03W4,298
T021R03W5,532
T021R04W4,301
T021R04W5,590
T021R05W4,311
T021R05W5,631
T021R06W4,322
T021R06W5,647
T021R07W4,330
T021R07W5,698
T021R08W4,335
T021R08W5,699
T021R09W4,344
T021R09W5,664
T021R10W4,355
T021R10W5,698
T021R11W4,351
T021R12W4,340
T021R13W4,332
T021R14W4,330
T021R15W4,325
T021R16W4,318
T021R17W4,322
T021R18W4,332
T021R19W4,360
T021R20W4,375
T021R21W4,373
T021R22W4,362
T021R23W4,371
T021R24W4,387
T021R25W4,393
T021R26W4,409
T021R27W4,440
T021R28W4,471
T021R29W4,483
T022R01W4,301
T022R01W5,455
T022R02W4,295
T022R02W5,462
T022R03W4,295
T022R03W5,503
T022R04W4,297
T022R04W5,578
T022R05W4,306
T022R05W5,638
T022R06W4,317
T022R06W5,636
T022R07W4,326
T022R07W5,673
T022R08W4,332
T022R08W5,681
T022R09W4,339
T022R09W5,680
T022R10W4,344
T022R10W5,682
T022R11W4,340
T022R12W4,332
T022R13W4,326
T022R14W4,321
T022R15W4,314
T022R16W4,313
T022R17W4,319
T022R18W4,326
T022R19W4,351
T022R20W4,362
T022R21W4,354
T022R22W4,343
T022R23W4,345
T022R24W4,373
T022R25W4,392
T022R26W4,407
T022R27W4,433
T022R28W4,451
T022R29W4,458
T023R01W4,307
T023R01W5,453
T023R02W4,293
T023R02W5,473
T023R03W4,291
T023R03W5,480
T023R04W4,297
T023R04W5,539
T023R05W4,304
T023R05W5,616
T023R06W4,312
T023R06W5,616
T023R07W4,322
T023R07W5,668
T023R08W4,329
T023R08W5,660
T023R09W4,333
T023R09W5,683
T023R10W4,334
T023R10W5,664
T023R11W4,325
T023R12W4,318
T023R13W4,315
T023R14W4,313
T023R15W4,312
T023R16W4,316
T023R17W4,320
T023R18W4,331
T023R19W4,350
T023R20W4,357
T023R21W4,353
T023R22W4,348
T023R23W4,359
T023R24W4,380
T023R25W4,393
T023R26W4,408
T023R27W4,425
T023R28W4,434
T023R29W4,439
T024R01W4,303
T024R01W5,435
T024R02W4,291
T024R02W5,472
T024R03W4,291
T024R03W5,465
T024R04W4,301
T024R04W5,485
T024R05W4,306
T024R05W5,554
T024R06W4,310
T024R06W5,593
T024R07W4,320
T024R07W5,639
T024R08W4,330
T024R08W5,625
T024R09W4,330
T024R09W5,633
T024R10W4,325
T024R10W5,625
T024R11W4,316
T024R12W4,311
T024R13W4,308
T024R14W4,308
T024R15W4,311
T024R16W4,319
T024R17W4,328
T024R18W4,340
T024R19W4,355
T024R20W4,362
T024R21W4,362
T024R22W4,368
T024R23W4,380
T024R24W4,390
T024R25W4,399
T024R26W4,405
T024R27W4,417
T024R28W4,422
T024R29W4,415
T025R01W4,301
T025R01W5,420
T025R02W4,297
T025R02W5,454
T025R03W4,298
T025R03W5,464
T025R04W4,310
T025R04W5,474
T025R05W4,309
T025R05W5,515
T025R06W4,308
T025R06W5,561
T025R07W4,316
T025R07W5,595
T025R08W4,323
T025R08W5,595
T025R09W4,324
T025R09W5,606
T025R10W4,321
T025R10W5,570
T025R11W4,314
T025R12W4,311
T025R13W4,309
T025R14W4,308
T025R15W4,312
T025R16W4,322
T025R17W4,342
T025R18W4,357
T025R19W4,366
T025R20W4,367
T025R21W4,369
T025R22W4,379
T025R23W4,385
T025R24W4,392
T025R25W4,398
T025R26W4,401
T025R27W4,410
T025R28W4,419
T025R29W4,417
T026R01W4,303
T026R01W5,436
T026R02W4,301
T026R02W5,460
T026R03W4,301
T026R03W5,484
T026R04W4,309
T026R04W5,488
T026R05W4,308
T026R05W5,502
T026R06W4,308
T026R06W5,536
T026R07W4,313
T026R07W5,551
T026R08W4,319
T026R08W5,570
T026R09W4,321
T026R09W5,583
T026R10W4,319
T026R10W5,549
T026R11W4,316
T026R12W4,313
T026R13W4,310
T026R14W4,309
T026R15W4,313
T026R16W4,329
T026R17W4,353
T026R18W4,368
T026R19W4,374
T026R20W4,372
T026R21W4,371
T026R22W4,378
T026R23W4,384
T026R24W4,388
T026R25W4,393
T026R26W4,397
T026R27W4,405
T026R28W4,417
T026R29W4,426
T027R01W4,306
T027R01W5,444
T027R02W4,305
T027R02W5,462
T027R03W4,300
T027R03W5,483
T027R04W4,304
T027R04W5,491
T027R05W4,305
T027R05W5,509
T027R06W4,306
T027R06W5,536
T027R07W4,311
T027R07W5,545
T027R08W4,315
T027R08W5,570
T027R09W4,316
T027R09W5,587
T027R10W4,317
T027R10W5,568
T027R11W4,318
T027R12W4,315
T027R13W4,315
T027R14W4,320
T027R15W4,328
T027R16W4,345
T027R17W4,363
T027R18W4,371
T027R19W4,368
T027R20W4,363
T027R21W4,370
T027R22W4,378
T027R23W4,383
T027R24W4,386
T027R25W4,392
T027R26W4,398
T027R27W4,409
T027R28W4,426
T027R29W4,436
T028R01W4,313
T028R01W5,454
T028R02W4,314
T028R02W5,465
T028R03W4,303
T028R03W5,476
T028R04W4,305
T028R04W5,490
T028R05W4,306
T028R05W5,515
T028R06W4,308
T028R06W5,539
T028R07W4,312
T028R07W5,563
T028R08W4,316
T028R08W5,597
T028R09W4,320
T028R09W5,601
T028R10W4,324
T028R10W5,590
T028R11W4,322
T028R12W4,319
T028R13W4,325
T028R14W4,329
T028R15W4,338
T028R16W4,352
T028R17W4,359
T028R18W4,356
T028R19W4,341
T028R20W4,346
T028R21W4,372
T028R22W4,381
T028R23W4,384
T028R24W4,387
T028R25W4,393
T028R26W4,399
T028R27W4,416
T028R28W4,437
T028R29W4,446
T029R01W4,313
T029R01W5,465
T029R02W4,310
T029R02W5,474
T029R03W4,309
T029R03W5,474
T029R04W4,308
T029R04W5,484
T029R05W4,307
T029R05W5,514
T029R06W4,309
T029R06W5,539
T029R07W4,314
T029R07W5,570
T029R08W4,322
T029R08W5,593
T029R09W4,328
T029R09W5,598
T029R10W4,329
T029R10W5,589
T029R11W4,327
T029R12W4,327
T029R13W4,330
T029R14W4,339
T029R15W4,352
T029R16W4,359
T029R17W4,363
T029R18W4,353
T029R19W4,339
T029R20W4,348
T029R21W4,372
T029R22W4,388
T029R23W4,386
T029R24W4,386
T029R25W4,392
T029R26W4,402
T029R27W4,420
T029R28W4,443
T029R29W4,455
T030R01W4,316
T030R01W5,472
T030R02W4,325
T030R02W5,475
T030R03W4,317
T030R03W5,476
T030R04W4,310
T030R04W5,486
T030R05W4,310
T030R05W5,509
T030R06W4,313
T030R06W5,532
T030R07W4,321
T030R07W5,562
T030R08W4,326
T030R08W5,586
T030R09W4,332
T030R09W5,586
T030R10W4,332
T030R10W5,576
T030R11W4,333
T030R12W4,332
T030R13W4,337
T030R14W4,348
T030R15W4,365
T030R16W4,376
T030R17W4,376
T030R18W4,363
T030R19W4,354
T030R20W4,357
T030R21W4,376
T030R22W4,387
T030R23W4,382
T030R24W4,382
T030R25W4,389
T030R26W4,403
T030R27W4,424
T030R28W4,450
T030R29W4,464
T031R01W4,309
T031R01W5,477
T031R02W4,305
T031R02W5,476
T031R03W4,307
T031R03W5,481
T031R04W4,312
T031R04W5,491
T031R05W4,317
T031R05W5,503
T031R06W4,324
T031R06W5,526
T031R07W4,331
T031R07W5,553
T031R08W4,333
T031R08W5,572
T031R09W4,332
T031R09W5,590
T031R10W4,333
T031R10W5,573
T031R11W4,336
T031R11W5,616
T031R12W4,339
T031R13W4,344
T031R14W4,358
T031R15W4,379
T031R16W4,393
T031R17W4,394
T031R18W4,374
T031R19W4,361
T031R20W4,362
T031R21W4,378
T031R22W4,385
T031R23W4,383
T031R24W4,377
T031R25W4,389
T031R26W4,410
T031R27W4,440
T031R28W4,465
T031R29W4,474
T032R01W4,306
T032R01W5,478
T032R02W4,304
T032R02W5,473
T032R03W4,309
T032R03W5,483
T032R04W4,320
T032R04W5,493
T032R05W4,329
T032R05W5,494
T032R06W4,335
T032R06W5,517
T032R07W4,341
T032R07W5,548
T032R08W4,341
T032R08W5,570
T032R09W4,337
T032R09W5,589
T032R10W4,335
T032R10W5,602
T032R11W4,339
T032R11W5,623
T032R12W4,342
T032R12W5,659
T032R13W4,349
T032R14W4,362
T032R15W4,380
T032R16W4,399
T032R17W4,404
T032R18W4,390
T032R19W4,374
T032R20W4,375
T032R21W4,389
T032R22W4,403
T032R23W4,410
T032R24W4,395
T032R25W4,407
T032R26W4,426
T032R27W4,451
T032R28W4,475
T032R29W4,478
T033R01W4,316
T033R01W5,480
T033R02W4,319
T033R02W5,477
T033R03W4,330
T033R03W5,491
T033R04W4,343
T033R04W5,499
T033R05W4,347
T033R05W5,498
T033R06W4,350
T033R06W5,519
T033R07W4,354
T033R07W5,546
T033R08W4,352
T033R08W5,569
T033R09W4,349
T033R09W5,596
T033R10W4,346
T033R10W5,622
T033R11W4,346
T033R11W5,626
T033R12W4,348
T033R12W5,671
T033R13W4,354
T033R13W5,687
T033R14W4,356
T033R15W4,369
T033R16W4,393
T033R17W4,401
T033R18W4,395
T033R19W4,388
T033R20W4,387
T033R21W4,396
T033R22W4,416
T033R23W4,415
T033R24W4,425
T033R25W4,443
T033R26W4,444
T033R27W4,459
T033R28W4,477
T033R29W4,480
T034R01W4,329
T034R01W5,491
T034R02W4,340
T034R02W5,489
T034R03W4,359
T034R03W5,501
T034R04W4,370
T034R04W5,509
T034R05W4,361
T034R05W5,522
T034R06W4,358
T034R06W5,542
T034R07W4,365
T034R07W5,557
T034R08W4,366
T034R08W5,577
T034R09W4,361
T034R09W5,611
T034R10W4,354
T034R10W5,637
T034R11W4,354
T034R11W5,641
T034R12W4,357
T034R12W5,631
T034R13W4,362
T034R13W5,592
T034R14W4,362
T034R14W5,614
T034R15W4,367
T034R16W4,387
T034R16W5,594
T034R17W4,397
T034R17W5,585
T034R18W4,399
T034R18W5,591
T034R19W4,395
T034R20W4,392
T034R21W4,394
T034R22W4,433
T034R23W4,460
T034R24W4,450
T034R25W4,453
T034R26W4,453
T034R27W4,470
T034R28W4,487
T034R29W4,491
T035R01W4,337
T035R01W5,500
T035R02W4,350
T035R02W5,484
T035R03W4,372
T035R03W5,499
T035R04W4,381
T035R04W5,512
T035R05W4,376
T035R05W5,531
T035R06W4,368
T035R06W5,553
T035R07W4,372
T035R07W5,578
T035R08W4,373
T035R08W5,600
T035R09W4,364
T035R09W5,617
T035R10W4,353
T035R10W5,634
T035R11W4,354
T035R11W5,655
T035R12W4,363
T035R12W5,613
T035R13W4,371
T035R13W5,574
T035R14W4,377
T035R14W5,561
T035R15W4,395
T035R15W5,537
T035R16W4,397
T035R16W5,508
T035R17W4,402
T035R17W5,510
T035R18W4,408
T035R18W5,517
T035R19W4,409
T035R20W4,403
T035R21W4,409
T035R22W4,446
T035R23W4,460
T035R24W4,454
T035R25W4,457
T035R26W4,468
T035R27W4,484
T035R28W4,499
T036R01W4,342
T036R01W5,525
T036R02W4,355
T036R02W5,503
T036R03W4,372
T036R03W5,502
T036R04W4,381
T036R04W5,517
T036R05W4,379
T036R05W5,534
T036R06W4,375
T036R06W5,559
T036R07W4,377
T036R07W5,591
T036R08W4,377
T036R08W5,615
T036R09W4,368
T036R09W5,637
T036R10W4,356
T036R10W5,669
T036R11W4,356
T036R11W5,671
T036R12W4,370
T036R12W5,619
T036R13W4,372
T036R13W5,562
T036R14W4,370
T036R14W5,537
T036R15W4,390
T036R15W5,513
T036R16W4,400
T036R16W5,469
T036R17W4,409
T036R17W5,461
T036R18W4,416
T036R18W5,471
T036R19W4,417
T036R19W5,507
T036R20W4,419
T036R21W4,424
T036R22W4,442
T036R23W4,454
T036R24W4,460
T036R25W4,468
T036R26W4,477
T036R27W4,486
T036R28W4,495
T037R01W4,350
T037R01W5,517
T037R02W4,361
T037R02W5,524
T037R03W4,372
T037R03W5,534
T037R04W4,377
T037R04W5,535
T037R05W4,378
T037R05W5,540
T037R06W4,379
T037R06W5,565
T037R07W4,380
T037R07W5,590
T037R08W4,384
T037R08W5,617
T037R09W4,390
T037R09W5,646
T037R10W4,393
T037R10W5,669
T037R11W4,396
T037R11W5,667
T037R12W4,396
T037R12W5,624
T037R13W4,386
T037R13W5,565
T037R14W4,380
T037R14W5,530
T037R15W4,390
T037R15W5,503
T037R16W4,403
T037R16W5,465
T037R17W4,415
T037R17W5,435
T037R18W4,420
T037R18W5,436
T037R19W4,421
T037R19W5,502
T037R20W4,429
T037R20W5,603
T037R21W4,437
T037R22W4,445
T037R23W4,455
T037R24W4,465
T037R25W4,472
T037R26W4,479
T037R27W4,485
T037R28W4,485
T038R01W4,362
T038R01W5,515
T038R02W4,366
T038R02W5,538
T038R03W4,371
T038R03W5,547
T038R04W4,374
T038R04W5,540
T038R05W4,377
T038R05W5,544
T038R06W4,380
T038R06W5,561
T038R07W4,387
T038R07W5,577
T038R08W4,400
T038R08W5,610
T038R09W4,421
T038R09W5,636
T038R10W4,449
T038R10W5,649
T038R11W4,457
T038R11W5,647
T038R12W4,435
T038R12W5,619
T038R13W4,413
T038R13W5,573
T038R14W4,403
T038R14W5,542
T038R15W4,406
T038R15W5,519
T038R16W4,413
T038R16W5,510
T038R17W4,422
T038R17W5,494
T038R18W4,430
T038R18W5,460
T038R19W4,440
T038R19W5,502
T038R20W4,445
T038R20W5,602
T038R21W4,446
T038R21W5,696
T038R22W4,450
T038R23W4,460
T038R24W4,467
T038R25W4,471
T038R26W4,477
T038R27W4,482
T038R28W4,487
T039R01W4,367
T039R01W5,517
T039R02W4,369
T039R02W5,539
T039R03W4,371
T039R03W5,543
T039R04W4,374
T039R04W5,542
T039R05W4,379
T039R05W5,550
T039R06W4,383
T039R06W5,553
T039R07W4,396
T039R07W5,555
T039R08W4,412
T039R08W5,615
T039R09W4,434
T039R09W5,637
T039R10W4,455
T039R10W5,636
T039R11W4,458
T039R11W5,630
T039R12W4,440
T039R12W5,606
T039R13W4,433
T039R13W5,574
T039R14W4,420
T039R14W5,555
T039R15W4,406
T039R15W5,539
T039R16W4,412
T039R16W5,512
T039R17W4,431
T039R17W5,502
T039R18W4,440
T039R18W5,496
T039R19W4,444
T039R19W5,527
T039R20W4,446
T039R20W5,601
T039R21W4,450
T039R22W4,456
T039R23W4,464
T039R24W4,467
T039R25W4,467
T039R26W4,469
T039R27W4,476
T039R28W4,483
T040R01W4,368
T040R01W5,503
T040R02W4,370
T040R02W5,525
T040R03W4,374
T040R03W5,536
T040R04W4,374
T040R04W5,547
T040R05W4,381
T040R05W5,557
T040R06W4,390
T040R06W5,553
T040R07W4,404
T040R07W5,550
T040R08W4,416
T040R08W5,601
T040R09W4,430
T040R09W5,636
T040R10W4,440
T040R10W5,633
T040R11W4,441
T040R11W5,627
T040R12W4,435
T040R12W5,609
T040R13W4,436
T040R13W5,583
T040R14W4,418
T040R14W5,569
T040R15W4,399
T040R15W5,559
T040R16W4,405
T040R16W5,541
T040R17W4,437
T040R17W5,521
T040R18W4,447
T040R18W5,522
T040R19W4,445
T040R19W5,546
T040R20W4,446
T040R20W5,590
T040R21W4,451
T040R22W4,459
T040R23W4,465
T040R24W4,468
T040R25W4,461
T040R26W4,444
T040R27W4,440
T040R28W4,467
T041R01W4,368
T041R01W5,499
T041R02W4,370
T041R02W5,519
T041R03W4,371
T041R03W5,536
T041R04W4,377
T041R04W5,552
T041R05W4,380
T041R05W5,561
T041R06W4,392
T041R06W5,562
T041R07W4,403
T041R07W5,561
T041R08W4,411
T041R08W5,590
T041R09W4,416
T041R09W5,620
T041R10W4,416
T041R10W5,628
T041R11W4,415
T041R11W5,635
T041R12W4,420
T041R12W5,633
T041R13W4,424
T041R13W5,612
T041R14W4,409
T041R14W5,574
